горячее,1,Куриный суп,170,https://github.com/SidorovMiha/Fun_Bot/blob/main/Images/kurinii_sup.jpg,1
горячее,2,Уха,200,https://github.com/SidorovMiha/Fun_Bot/blob/main/Images/Uha.jpg,2
холодное,1,Салат Цезарь,200,https://github.com/SidorovMiha/Fun_Bot/blob/main/Images/salat-cezar.jpg,3
холодное,2,Зимний салат,200,https://github.com/SidorovMiha/Fun_Bot/blob/main/Images/salat_zimnii.jpg,4
десерт,1,Торт Наполеон,150,https://github.com/SidorovMiha/Fun_Bot/blob/main/Images/napalion.jpg,5
десерт,2,Яблочный пирог,120,https://github.com/SidorovMiha/Fun_Bot/blob/main/Images/apple_cake.jpg,6
напиток,1,Чай,50,https://github.com/SidorovMiha/Fun_Bot/blob/main/Images/napalion.jpg,7
напиток,2,Кофе,100,https://github.com/SidorovMiha/Fun_Bot/blob/main/Images/coffee.jpg,8
комбо,1,???,1000,https://img.icons8.com/ios/2x/cat-profile.png,9
комбо,2,???,500,https://img.icons8.com/ios/2x/cat-profile.png,10
